730,4.81781997682505
736,5.6080659059114
740,6.35453251967976
746,7.24155696913854
750,7.66334315016676
756,9.56726343414658
760,10.9596419429588
766,11.6679141965885
770,11.4016230252087
776,12.9479676978558
780,14.6082572379248
786,16.3033637173995
790,17.7207668320513
796,17.0079406665364
800,18.2622649120841
806,18.768857650922
810,20.2723985171018
816,21.7466470642767
820,26.518019323912
826,26.9537238898119
830,28.9280234041725
836,30.0195934906243
840,30.1633798090226
846,34.2615042812013
850,36.7733551525733
856,39.8174831169316
860,41.6480938434324
866,44.01693209873
870,45.6910800441969
876,47.4135836784837
880,47.2789572853114
886,48.1952418979884
890,49.1647170941755
896,51.9111401980495
900,53.8049182141705
906,54.4316585400887
910,52.3486393903722
916,53.3329245025261
920,54.9213646763195
926,55.2366125182284
930,55.9250070504667
936,50.0577613882654
940,51.0323818031005
946,48.2527095720664
950,44.7024651447187
956,40.6462494712814
960,35.3067425716947
966,32.2212409483255
970,32.4698106600036
976,27.3495556131789
980,27.2284155299711
986,22.0902658786616
990,21.475200034881
996,16.9999046369768
1000,14.0987916941837
1006,9.38331253402916
1010,7.84068457378294
1016,5.30456529411537
1020,4.30223191904349
1026,2.84282327921951
1030,2.10810780227614
1036,1.21339108888515
1040,0.959783448380501
1046,0.499107727189128
1050,0.335938875496773
1056,0.192691235042083
1060,0.111311595601551
1066,0.08886266589046
1070,0.0942781382912943
